Analyzing amiraly...                                            

   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:146:29 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:148:48 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:186:31 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:188:50 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:214:49 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:221:42 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:240:29 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:242:48 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:273:33 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:275:52 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:288:45 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:292:45 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:373:62 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:407:43 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:408:43 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:443:33 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:445:52 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:486:31 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:488:50 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:557:59 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:561:37 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:627:31 - deprecated_member_use
